callsign,used_runway,runway_time,taxi_time,t_start,t_end
531,2,96.0,300.0,2024-10-22 20:18:58,2024-10-22 20:20:34
532,3,16.0,212.0,2024-10-22 20:07:42,2024-10-22 20:07:58
533,2,81.0,389.0,2024-10-22 20:20:58,2024-10-22 20:22:19
535,2,87.0,242.0,2024-10-22 20:22:34,2024-10-22 20:24:01
536,3,15.0,159.0,2024-10-22 20:19:14,2024-10-22 20:19:29
537,2,22.0,192.0,2024-10-22 20:28:51,2024-10-22 20:29:13
538,3,23.0,208.0,2024-10-22 20:21:46,2024-10-22 20:22:09
539,3,10.0,204.0,2024-10-22 20:23:48,2024-10-22 20:23:58
540,2,15.0,288.0,2024-10-22 20:34:34,2024-10-22 20:34:49
541,3,50.0,80.0,2024-10-22 20:26:15,2024-10-22 20:27:05
542,3,48.0,157.0,2024-10-22 20:30:55,2024-10-22 20:31:43
543,3,47.0,256.0,2024-10-22 20:32:44,2024-10-22 20:33:31
544,3,23.0,121.0,2024-10-22 20:36:20,2024-10-22 20:36:43
545,3,26.0,236.0,2024-10-22 20:42:36,2024-10-22 20:43:02
546,3,49.0,87.0,2024-10-22 20:46:19,2024-10-22 20:47:08
547,2,22.0,302.0,2024-10-22 20:57:00,2024-10-22 20:57:22
548,3,47.0,196.0,2024-10-22 20:49:51,2024-10-22 20:50:38
549,3,11.0,181.0,2024-10-22 20:53:54,2024-10-22 20:54:05
550,3,50.0,60.0,2024-10-22 20:59:04,2024-10-22 20:59:54
551,3,13.0,134.0,2024-10-22 21:03:01,2024-10-22 21:03:14
552,2,92.0,406.0,2024-10-22 21:19:17,2024-10-22 21:20:49
553,2,38.0,204.0,2024-10-22 21:18:06,2024-10-22 21:18:44
554,3,13.0,132.0,2024-10-22 21:08:29,2024-10-22 21:08:42
555,3,63.0,305.0,2024-10-22 21:11:05,2024-10-22 21:12:08
556,3,18.0,139.0,2024-10-22 21:13:38,2024-10-22 21:13:56
557,3,51.0,111.0,2024-10-22 21:15:40,2024-10-22 21:16:31
558,3,29.0,130.0,2024-10-22 21:20:39,2024-10-22 21:21:08
559,3,3.0,163.0,2024-10-22 21:28:42,2024-10-22 21:28:45
560,3,32.0,270.0,2024-10-22 21:30:48,2024-10-22 21:31:20
561,3,37.0,114.0,2024-10-22 21:37:47,2024-10-22 21:38:24
562,3,61.0,67.0,2024-10-22 21:42:23,2024-10-22 21:43:24
563,3,21.0,81.0,2024-10-22 21:45:51,2024-10-22 21:46:12
564,3,56.0,112.0,2024-10-22 21:52:58,2024-10-22 21:53:54
565,2,16.0,282.0,2024-10-22 22:12:02,2024-10-22 22:12:18
566,3,50.0,66.0,2024-10-22 22:09:43,2024-10-22 22:10:33
567,3,32.0,166.0,2024-10-22 22:19:08,2024-10-22 22:19:40
568,3,40.0,117.0,2024-10-22 22:22:06,2024-10-22 22:22:46
569,3,49.0,239.0,2024-10-22 22:28:33,2024-10-22 22:29:22
570,3,31.0,73.0,2024-10-22 22:35:27,2024-10-22 22:35:58
571,3,53.0,99.0,2024-10-22 22:39:02,2024-10-22 22:39:55
572,3,41.0,105.0,2024-10-22 22:44:13,2024-10-22 22:44:54
573,2,93.0,206.0,2024-10-22 22:52:41,2024-10-22 22:54:14
574,3,46.0,231.0,2024-10-22 23:02:24,2024-10-22 23:03:10
575,3,25.0,245.0,2024-10-22 23:26:27,2024-10-22 23:26:52
576,3,41.0,147.0,2024-10-22 23:28:17,2024-10-22 23:28:58
